time stamp,pendulum,angle
,1,
,0,
,1,
,1,
,0,
,0,
,0,
,1,
,0,
,0,
,1,
,0,
,0,
,0,
,1,
,1,
,0,
,0,
,0,
,0,
,1,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,0,
,1,
,1,
,1,
,0,
,1,
,1,
,0,
,1,
,0,
,0,
,0,
,1,
,0,
,1,
,1,
,1,
,0,
,0,
,0,
,1,
,1,
,0,3667
,0,3658
,1,3651
,0,3644
,1,3637
,0,3629
,0,3625
,0,3621
,1,3603
,0,3602
,1,3596
,1,3585
,0,3578
,0,3571
,1,3563
,1,3555
,0,3547
,0,3540
,0,3535
,0,3530
,0,3526
,0,3523
,0,3521
,1,3520
,1,3520
,0,3519
,0,3519
,0,3520
,1,3521
,1,3521
,1,3522
,1,3522
,1,3522
,1,3522
,0,3522
,1,3525
,1,3523
,1,3526
,1,3526
,0,3526
,0,3531
,0,3534
,1,3539
,0,3539
,0,3550
,0,3558
,1,3568
,1,3569
,1,3578
,0,3586
301,0,3605
302,0,3616
303,0,3627
304,0,3638
305,1,3650
306,1,3653
307,0,3664
308,0,3683
309,0,3695
310,0,3708
311,0,3721
312,1,3736
313,1,3739
314,1,3753
315,0,3766
316,0,3787
317,0,3803
318,0,3818
319,0,3834
320,1,3850
321,0,3859
322,0,3873
323,0,3898
324,0,3914
325,0,3921
326,1,3939
327,0,3952
328,1,3967
329,1,3981
330,0,3996
331,1,4008
332,1,4021
333,0,4032
334,1,4042
335,0,4052
336,1,4058
337,1,4065
338,0,4071
339,0,4073
340,1,4074
341,1,4074
342,0,4073
343,0,4070
344,1,4065
345,0,4063
346,0,4053
347,1,4044
348,0,4040
349,1,4026
350,0,4027
351,0,4010
352,0,3998
353,1,3985
354,0,3981
355,1,3962
356,1,3955
357,1,3941
358,0,3927
359,1,3903
360,0,3899
361,0,3874
362,0,3856
363,1,3836
364,0,3826
365,0,3805
366,0,3774
367,0,3751
368,0,3726
369,0,3701
370,1,3682
371,1,3658
372,0,3632
373,1,3607
374,1,3581
375,1,3555
376,0,3530
377,0,3505
378,1,3482
379,0,3459
380,1,3440
381,0,3419
382,0,3403
383,0,3389
384,0,3378
385,0,3370
386,1,3365
387,0,3360
388,0,3359
389,1,3359
390,1,3359
391,0,3361
392,1,3364
393,0,3365
394,1,3373
395,0,3374
396,0,3385
397,1,3394
398,1,3403
399,0,3414
400,1,3426
401,0,3438
402,0,3453
403,0,3468
404,0,3485
405,0,3503
406,0,3522
407,1,3542
408,0,3555
409,0,3571
410,1,3589
411,0,3607
412,0,3624
413,0,3642
414,0,3666
415,0,3673
416,1,3689
417,0,3703
418,1,3717
419,1,3730
420,1,3743
421,1,3754
422,0,3766
423,0,3776
424,1,3785
425,1,3794
426,1,3802
427,1,3809
428,1,3816
429,0,3822
430,1,3827
431,1,3832
432,1,3837
433,0,3841
434,0,3844
435,0,3846
436,0,3848
437,0,3848
438,1,3848
439,1,3848
440,1,3847
441,0,3847
442,0,3844
443,0,3841
444,0,3838
445,0,3834
446,0,3830
447,0,3825
448,1,3819
449,1,3818
450,1,3816
451,0,3811
452,0,3801
453,0,3788
454,0,3779
455,0,3769
456,1,3758
457,0,3749
458,1,3736
459,0,3726
460,1,3718
461,0,3709
462,0,3697
463,1,3677
464,0,3673
465,1,3661
466,0,3648
467,0,3630
468,0,3621
469,1,3613
470,1,3599
471,0,3586
472,0,3570
473,1,3553
474,1,3550
475,0,3536
476,1,3524
477,0,3511
478,0,3500
479,0,3489
480,0,3479
481,1,3471
482,0,3462
483,1,3455
484,0,3447
485,1,3441
486,0,3435
487,0,3431
488,0,3427
489,0,3425
490,0,3425
491,1,3425
492,1,3426
493,1,3427
494,1,3429
495,1,3430
496,0,3432
497,0,3435
498,1,3439
499,0,3442
500,0,3448
501,0,3454
502,1,3461
503,0,3463
504,0,3467
505,1,3481
506,0,3480
507,0,3485
508,0,3500
509,1,3505
510,1,3507
511,0,3513
512,0,3528
513,0,3535
514,0,3546
515,1,3556
516,0,3559
517,0,3567
518,1,3585
519,0,3587
520,0,3597
521,0,3616
522,0,3619
523,0,3629
524,0,3649
525,0,3661
526,0,3674
527,0,3689
528,1,3705
529,1,3711
530,1,3727
531,1,3742
532,0,3758
533,1,3780
534,0,3790
535,1,3803
536,0,3816
537,1,3839
538,0,3845
539,0,3861
540,0,3881
541,0,3899
542,0,3916
543,0,3933
544,1,3949
545,0,3961
546,1,3977
547,0,3996
548,1,4010
549,0,4026
550,1,4041
551,0,4057
552,1,4070
553,1,4083
554,1,4096
555,0,4108
556,1,4119
557,1,4129
558,0,4139
559,0,4148
560,0,4156
561,1,4162
562,1,4168
563,0,4173
564,1,4176
565,1,4179
566,0,4181
567,0,4181
568,0,4180
569,1,4177
570,0,4173
571,1,4167
572,0,4163
573,0,4154
574,0,4147
575,1,4138
576,0,4136
577,0,4127
578,0,4111
579,0,4101
580,0,4089
581,0,4076
582,0,4063
583,1,4052
584,1,4043
585,1,4029
586,1,4015
587,0,4001
588,1,3988
589,1,3975
590,1,3962
591,1,3949
592,0,3937
593,0,3915
594,0,3901
595,0,3887
596,1,3877
597,1,3865
598,0,3851
599,1,3833
600,0,3821
601,1,3807
602,0,3793
603,0,3779
604,1,3766
605,0,3752
606,1,3739
607,1,3726
608,0,3712
609,0,3700
610,0,3688
611,1,3676
612,1,3665
613,1,3653
614,0,3641
615,0,3631
616,0,3622
617,0,3613
618,0,3606
619,0,3600
620,1,3596
621,0,3590
622,0,3589
623,0,3586
624,0,3584
625,0,3583
626,0,3583
627,0,3583
628,0,3585
629,0,3587
630,0,3589
631,1,3592
632,1,3588
633,1,3587
634,0,3588
635,0,3598
636,0,3603
637,0,3606
638,1,3610
639,0,3606
640,0,3610
641,0,3622
642,0,3622
643,0,3628
644,0,3641
645,0,3648
646,0,3658
647,1,3669
648,0,3670
649,0,3680
650,0,3699
651,1,3712
652,1,3713
653,0,3725
654,0,3744
655,1,3750
656,0,3761
657,1,3784
658,1,3787
659,0,3800
660,0,3821
661,1,3838
662,1,3844
663,1,3863
664,0,3877
665,0,3904
666,0,3919
667,0,3938
668,0,3959
669,0,3978
670,0,3999
671,0,4021
672,0,4041
673,0,4053
674,1,4071
675,0,4089
676,1,4105
677,1,4121
678,1,4136
679,1,4151
680,0,4165
681,0,4177
682,1,4188
683,1,4197
684,1,4206
685,0,4213
686,1,4218
687,1,4222
688,0,4226
689,0,4226
690,1,4225
691,0,4223
692,0,4218
693,0,4212
694,1,4204
695,1,4197
696,0,4188
697,0,4175
698,0,4163
699,1,4149
700,0,4142
701,1,4124
702,1,4110
703,0,4098
704,0,4074
705,0,4057
706,1,4038
707,0,4027
708,1,4007
709,0,3987
710,0,3960
711,0,3937
712,0,3916
713,0,3894
714,0,3871
715,0,3857
716,0,3837
717,0,3816
718,1,3797
719,1,3777
720,0,3758
721,0,3741
722,1,3724
723,0,3707
724,0,3692
725,1,3678
726,0,3664
727,0,3654
728,0,3644
729,0,3637
730,1,3630
731,0,3622
732,0,3619
733,1,3616
734,1,3608
735,1,3599
736,0,3596
737,1,3602
738,1,3591
739,0,3590
740,1,3596
741,1,3585
742,1,3587
743,1,3585
744,0,3586
745,1,3595
746,0,3588
747,0,3599
748,1,3603
749,0,3598
750,0,3612
751,0,3622
752,1,3631
753,1,3631
754,0,3642
755,0,3664
756,0,3680
757,0,3699
758,0,3721
759,0,3745
760,1,3771
761,0,3789
762,1,3824
763,0,3843
764,0,3877
765,0,3902
766,1,3925
767,0,3951
768,0,3984
769,0,4005
770,0,4040
771,0,4068
772,1,4084
773,1,4112
774,1,4138
775,1,4165
776,0,4190
777,1,4211
778,0,4233
779,0,4252
780,0,4268
781,1,4280
782,0,4293
783,0,4301
784,1,4307
785,0,4312
786,0,4313
787,1,4312
788,0,4312
789,0,4304
790,0,4296
791,1,4284
792,1,4281
793,1,4269
794,0,4256
795,0,4229
796,0,4208
797,1,4183
798,1,4163
799,1,4135
800,0,4108
801,0,4068
802,0,4036
803,0,4001
804,0,3964
805,0,3923
806,0,3882
807,0,3840
808,0,3808
809,1,3767
810,0,3725
811,0,3686
812,0,3648
813,0,3611
814,0,3576
815,0,3542
816,0,3512
817,1,3484
818,1,3457
819,0,3430
820,0,3407
821,0,3386
822,0,3370
823,1,3357
824,0,3345
825,0,3337
826,0,3332
827,1,3331
828,0,3327
829,0,3334
830,0,3341
831,0,3352
832,1,3366
833,1,3376
834,1,3385
835,1,3402
836,0,3421
837,0,3443
838,0,3462
839,0,3485
840,0,3511
841,1,3540
842,0,3558
843,0,3594
1,0,3627
2,1,3663
3,1,3688
4,0,3723
5,1,3772
6,0,3802
7,0,3853
8,0,3897
9,0,3943
10,0,3980
11,1,4026
12,0,4072
13,1,4114
14,0,4156
15,1,4193
16,0,4232
17,1,4262
18,1,4296
19,0,4323
20,0,4345
21,0,4364
22,0,4373
23,0,4377
24,1,4373
25,1,4377
26,0,4370
27,0,4349
28,1,4333
29,0,4326
30,1,4295
31,0,4279
32,1,4245
33,1,4228
34,1,4194
35,0,4166
36,0,4131
37,0,4095
38,0,4053
39,1,4006
40,0,3968
41,1,3903
42,0,3861
43,0,3795
44,0,3734
45,0,3667
46,0,3593
47,0,3514
48,0,3431
49,1,3341
50,0,3261
51,1,3153
52,0,3068
53,1,2953
54,1,2858
55,1,2749
56,0,2641
57,0,2512
58,1,2389
59,0,2273
60,0,2124
61,0,1983
62,0,1829
63,0,1671
64,0,1505
65,0,1335
66,0,1162
67,0,986
68,0,811
69,0,634
70,0,461
71,1,286
72,0,126
73,0,-53
74,0,-222
75,1,-396
76,0,-555
77,0,-742
78,1,-918
79,0,-1088
80,0,-1281
81,0,-1467
82,0,-1661
83,1,-1860
84,0,-2052
85,0,-2267
86,1,-2480
87,0,-2687
88,0,-2912
89,0,-3136
90,0,-3366
91,0,-3600
92,0,-3838
93,0,-4084
94,0,-4335
95,0,-4589
96,0,-4834
97,0,-5031
98,1,-5239
99,1,-5459
100,0,-5655
101,0,-5881
102,0,-6109
103,0,-6322
104,0,-6551
105,0,-6789
106,0,-7022
107,0,-7262
108,0,-7507
109,0,-7747
110,0,-7990
111,0,-8240
112,1,-8490
113,1,-8725
114,1,-8958
115,0,-9199
116,0,-9450
117,0,-9626
118,0,-9766
119,0,-9921
120,0,-10072
121,0,-10206
122,1,-10355
123,0,-10510
124,0,-10671
125,1,-10818
126,0,-10967
127,0,-11140
128,1,-11305
129,0,-11457
130,0,-11634
131,1,-11805
