#time (0.01s)	#x arm angle(deg)	#xest arm angle(deg)
2.15,0.10641,0.096
2.16,0.096055,0.096
2.17,0.0821627,0.072
2.18,0.0697981,0.048
2.19,0.0580731,0.048
2.2,0.046133,0.024
2.21,0.0331291,0.024
2.22,0.0182178,0
2.23,0.000131036,0
2.24,-0.0223929,0
2.25,-0.0501583,-0.048
2.26,-0.0835937,-0.072
2.27,-0.12273,-0.12
2.28,-0.167604,-0.144
2.29,-0.218259,-0.216
2.3,-0.274774,-0.264
2.31,-0.336827,-0.336
2.32,-0.408557,-0.408
2.33,-0.487761,-0.48
2.34,-0.566562,-0.552
2.35,-0.643458,-0.624
2.36,-0.717385,-0.696
2.37,-0.786853,-0.768
2.38,-0.856714,-0.84
2.39,-0.925865,-0.912
2.4,-0.986905,-0.984
2.41,-1.0394,-1.032
2.42,-1.08333,-1.08
2.43,-1.11842,-1.104
2.44,-1.14483,-1.128
2.45,-1.16267,-1.152
2.46,-1.17246,-1.152
2.47,-1.17512,-1.152
2.48,-1.17152,-1.152
2.49,-1.16928,-1.152
2.5,-1.16963,-1.152
2.51,-1.16749,-1.152
2.52,-1.16412,-1.152
2.53,-1.16036,-1.152
2.54,-1.15746,-1.152
2.55,-1.15666,-1.152
2.56,-1.15836,-1.152
2.57,-1.16294,-1.152
2.58,-1.17122,-1.152
2.59,-1.184,-1.176
2.6,-1.20171,-1.2
2.61,-1.22436,-1.224
2.62,-1.25198,-1.248
2.63,-1.28458,-1.272
2.64,-1.32178,-1.32
2.65,-1.36279,-1.344
2.66,-1.40683,-1.392
2.67,-1.45315,-1.44
2.68,-1.49425,-1.488
2.69,-1.52904,-1.512
2.7,-1.56312,-1.56
2.71,-1.59576,-1.584
2.72,-1.6262,-1.608
2.73,-1.65368,-1.632
2.74,-1.67744,-1.656
2.75,-1.69672,-1.68
2.76,-1.71364,-1.704
2.77,-1.72785,-1.704
2.78,-1.73611,-1.728
2.79,-1.73805,-1.728
2.8,-1.73375,-1.728
2.81,-1.72367,-1.704
2.82,-1.70825,-1.704
2.83,-1.6879,-1.68
2.84,-1.66347,-1.656
2.85,-1.63576,-1.632
2.86,-1.60556,-1.584
2.87,-1.57408,-1.56
2.88,-1.54248,-1.536
2.89,-1.51198,-1.488
2.9,-1.48374,-1.464
2.91,-1.4585,-1.44
2.92,-1.43659,-1.416
2.93,-1.41834,-1.416
2.94,-1.40413,-1.392
2.95,-1.39389,-1.392
2.96,-1.38757,-1.368
2.97,-1.38512,-1.368
2.98,-1.38608,-1.368
2.99,-1.39,-1.368
3,-1.39689,-1.392
3.01,-1.40593,-1.392
3.02,-1.41588,-1.392
3.03,-1.4259,-1.416
3.04,-1.43477,-1.416
3.05,-1.44127,-1.44
3.06,-1.44421,-1.44
3.07,-1.44237,-1.44
3.08,-1.43497,-1.416
3.09,-1.42117,-1.416
3.1,-1.40015,-1.392
3.11,-1.37153,-1.368
3.12,-1.3353,-1.32
3.13,-1.29142,-1.272
3.14,-1.24025,-1.224
3.15,-1.18258,-1.176
3.16,-1.11428,-1.104
