0.04805,0.935313
0.08845,0.976757
0.12868,0.933256
0.16891,0.978234
0.20836,0.930706
0.24822,0.979508
0.28762,0.926778
0.32691,0.981189
0.36611,0.922546
0.40493,0.982544
0.44372,0.917936
0.48134,0.982488
0.51962,0.910882
0.55784,0.984552
0.59627,0.903766
0.63446,0.984954
0.67278,0.896592
0.71088,0.985583
0.74868,0.885638
0.78393,0.984985
0.82137,0.871951
0.85909,0.987762
0.89697,0.854867
0.93474,0.987578
0.97211,0.832285
1.0098,0.987406
1.04568,0.798469
1.08297,0.990415
1.12047,0.751613
1.15829,0.987124
1.19491,0.665217
1.23283,0.993464
1.26969,0.480263
1.30628,0.917808
1.34069,0
1.34069,inf
